Date,Open,High,Low,Close,Adj Close,Volume,Target,Moving_Average_3,Moving_Average_7,Today_Direction,Price_Range
2000-09-22,38.375,42.125,38.3125,41.4375,41.4375,5996200,0,0.9166666666666666,-0.044642857142857144,3.0625,3.8125
2000-09-25,41.21875,42.5625,40.0,40.375,40.375,5459900,0,1.6145833333333333,-0.26339285714285715,-0.84375,2.5625
2000-09-26,40.625,41.125,39.5625,39.75,39.75,4260400,0,0.4479166666666667,-0.13839285714285715,-0.875,1.5625
2000-09-27,38.6875,39.625,35.5,37.875,37.875,10030900,1,-0.84375,-0.15625,-0.8125,4.125
2000-09-28,37.3125,40.25,37.125,40.0,40.0,5857900,0,0.3333333333333333,0.41517857142857145,2.6875,3.125
2000-09-29,39.0,41.25,37.625,38.4375,38.4375,6517100,0,0.4375,0.7544642857142857,-0.5625,3.625
2000-10-02,38.1875,38.4375,35.25,35.875,35.875,5477700,0,-0.0625,0.049107142857142856,-2.3125,3.1875
2000-10-03,36.75,37.25,35.0,35.0625,35.0625,5379900,1,-1.5208333333333333,-0.6294642857142857,-1.6875,2.25
2000-10-04,33.4375,37.0625,32.5,36.0,36.0,7841100,0,-0.4791666666666667,-0.14285714285714285,2.5625,4.5625
2000-10-05,35.1875,36.625,32.0,33.5625,33.5625,6966300,0,-0.25,-0.25,-1.625,4.625
2000-10-06,32.5,33.25,30.1875,31.5625,31.5625,8871100,0,0.0,-0.26785714285714285,-0.9375,3.0625
2000-10-09,30.25,30.5625,27.375,30.0625,30.0625,12727500,1,-0.9166666666666666,-0.6785714285714286,-0.1875,3.1875
2000-10-10,29.75,32.71875,28.875,30.4375,30.4375,7265500,0,-0.14583333333333334,-0.5,0.6875,3.84375
2000-10-11,27.9375,30.25,27.625,27.8125,27.8125,7889700,0,0.125,-0.1875,-0.125,2.625
2000-10-12,28.375,28.8125,24.625,25.125,25.125,8032600,1,-0.8958333333333334,-0.4107142857142857,-3.25,4.1875
2000-10-13,24.25,28.875,23.5,28.4375,28.4375,7633400,0,0.2708333333333333,-0.17857142857142858,4.1875,5.375
2000-10-16,28.125,28.3125,24.125,24.3125,24.3125,7147700,0,-0.9583333333333334,-0.49107142857142855,-3.8125,4.1875
2000-10-17,24.875,25.1875,20.875,21.9375,21.9375,15140500,1,-0.8541666666666666,-0.7767857142857143,-2.9375,4.3125
2000-10-18,19.875,25.375,19.375,25.125,25.125,18788700,1,-0.5,0.0,5.25,6.0
2000-10-19,26.5625,28.125,24.1875,27.75,27.75,10874900,1,1.1666666666666667,0.07142857142857142,1.1875,3.9375
2000-10-20,27.6875,31.25,27.125,30.8125,30.8125,11621900,1,3.1875,0.5357142857142857,3.125,4.125
2000-10-23,29.6875,30.375,27.625,30.0,30.0,10199600,0,1.5416666666666667,1.0446428571428572,0.3125,2.75
2000-10-24,29.875,33.875,28.8125,29.5625,29.5625,13676600,0,1.0416666666666667,0.4017857142857143,-0.3125,5.0625
2000-10-25,34.0,36.5,31.75,31.875,31.875,28572900,1,-0.7083333333333334,0.6428571428571429,-2.125,4.75
2000-10-26,32.1875,37.5,31.0,36.875,36.875,17825500,1,0.75,1.7321428571428572,4.6875,6.5
2000-10-27,33.9375,37.5,33.875,35.625,35.625,12370700,0,1.4166666666666667,1.2232142857142858,1.6875,3.625
2000-10-30,33.0625,34.375,30.265625,32.875,32.875,12510200,1,2.0625,1.0267857142857142,-0.1875,4.109375
2000-10-31,32.6875,36.875,32.0625,36.625,36.625,9919500,1,1.8125,1.1428571428571428,3.9375,4.8125
